===============================================================================================================
Blast BS
===============================================================================================================
Bit: 0, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 1, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 2, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 3, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 4, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 5, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 6, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 7, MSE: nan, MAE: nan, MRE: nan, PAP: 1.000
Bit: 8, MSE: nan, MAE: nan, MRE: nan, PAP: 0.998
Bit: 54, MSE: 1.5660146285753796e-31, MAE: 6.5133084111342514e-15, MRE: 7.347721108219495e-15, PAP: 0.000
Bit: 55, MSE: 6.506265944420831e-31, MAE: 3.8968828164342995e-14, MRE: 3.146280061057446e-14, PAP: 0.000
Bit: 56, MSE: 4.852165526354234e-31, MAE: 2.7172708527700706e-14, MRE: 2.2158368128965503e-14, PAP: 0.000
Bit: 57, MSE: 5.93949987668101e-31, MAE: 4.144159762828084e-14, MRE: 3.252267637227314e-14, PAP: 0.000
Bit: 58, MSE: 6.402402206601229e-31, MAE: 3.718662804586577e-14, MRE: 2.970948553402995e-14, PAP: 0.000
Bit: 59, MSE: 1.7535035089933977e-31, MAE: 1.0756827527479294e-14, MRE: 9.313773860648334e-15, PAP: 0.000
Bit: 60, MSE: 8.11424772016331e-31, MAE: 2.8359259385268842e-14, MRE: 2.3164309817493754e-14, PAP: 0.000
Bit: 61, MSE: 1.5348944914552887e-31, MAE: 8.677269429307145e-15, MRE: 7.757579286329423e-15, PAP: 0.000
Bit: 62, MSE: 1.6432484463679205e-31, MAE: 9.57353854311385e-15, MRE: 8.607789411641002e-15, PAP: 0.000
Bit: 63, MSE: 1.5956929305093414e-31, MAE: 9.15429348486379e-15, MRE: 7.949082334148488e-15, PAP: 0.000


===============================================================================================================
StirTurb
===============================================================================================================
Bit: 1, MSE: 1.0001029438417637, MAE: 1.0345955132013813, MRE: 0.9999999999033442, PAP: 1.000
Bit: 2, MSE: 0.8677363844494635, MAE: 0.898901203803973, MRE: 0.8688815929702721, PAP: 0.952
Bit: 3, MSE: 0.8710574094399705, MAE: 0.9024805761271649, MRE: 0.8723378533203773, PAP: 0.954
Bit: 4, MSE: 0.8621577175709276, MAE: 0.8931599728678774, MRE: 0.8633370418700654, PAP: 0.951
Bit: 5, MSE: 0.8715182817441559, MAE: 0.9039694106582209, MRE: 0.8738104108670754, PAP: 0.896
Bit: 6, MSE: 0.3579289170159991, MAE: 1.2625368669283268, MRE: 1.2546605000424376, PAP: 0.948
Bit: 7, MSE: 0.0597824820557527, MAE: 0.3590569982402143, MRE: 0.35615823735467733, PAP: 0.981
Bit: 8, MSE: 1.4959104989312782e-08, MAE: 0.018442462565030848, MRE: 0.018458181313843115, PAP: 0.179
Bit: 9, MSE: 1.4036215828129506e-08, MAE: 0.019520185678615173, MRE: 0.019607214272114343, PAP: 0.154
Bit: 10, MSE: 8.475230876859946e-09, MAE: 0.013172532504418777, MRE: 0.013140316973681794, PAP: 0.092
Bit: 11, MSE: 1.1725908795274922e-08, MAE: 0.02060426842635403, MRE: 0.020536226457320166, PAP: 0.093
Bit: 12, MSE: 3.2918330546851398e-09, MAE: 0.009679950258443943, MRE: 0.00968817907742382, PAP: 0.014
Bit: 13, MSE: 8.495235907401862e-10, MAE: 0.0047658806963657915, MRE: 0.004739219763589013, PAP: 0.001
Bit: 14, MSE: 1.8445729500583775e-10, MAE: 0.002067256364181813, MRE: 0.0020663742646866157, PAP: 0.000
Bit: 15, MSE: 5.306376776048916e-11, MAE: 0.0011731572908883084, MRE: 0.0011733925737070024, PAP: 0.000
Bit: 16, MSE: 1.3117747537886104e-11, MAE: 0.0005761863380051949, MRE: 0.0005751472541445521, PAP: 0.000
Bit: 17, MSE: 2.852818406171678e-12, MAE: 0.00024004846041656265, MRE: 0.0002404572360230773, PAP: 0.000
Bit: 18, MSE: 7.622959261719489e-13, MAE: 0.0001145975089495406, MRE: 0.00011402741566537666, PAP: 0.000
Bit: 19, MSE: 1.7301561927298194e-13, MAE: 5.310326691679088e-05, MRE: 5.317905557131573e-05, PAP: 0.000
Bit: 20, MSE: 5.895119106718632e-14, MAE: 3.1223729865664795e-05, MRE: 3.0981851915600733e-05, PAP: 0.000
Bit: 21, MSE: 1.2625173592287255e-14, MAE: 1.8977251131665113e-05, MRE: 1.8930082098773086e-05, PAP: 0.000
Bit: 22, MSE: 3.3934771170110756e-15, MAE: 9.347182410190946e-06, MRE: 9.330002726239108e-06, PAP: 0.000
Bit: 23, MSE: 8.182804597397779e-16, MAE: 4.814440782216928e-06, MRE: 4.807337835296172e-06, PAP: 0.000
Bit: 24, MSE: 2.3257423533757934e-16, MAE: 2.6170921935575466e-06, MRE: 2.621781499391395e-06, PAP: 0.000
Bit: 25, MSE: 4.9445585846341435e-17, MAE: 1.0786209853978524e-06, MRE: 1.0786426865503518e-06, PAP: 0.000
Bit: 26, MSE: 2.016028168257847e-17, MAE: 8.344469662654083e-07, MRE: 8.327516323034251e-07, PAP: 0.000
Bit: 27, MSE: 3.533593633978125e-18, MAE: 2.798714031180522e-07, MRE: 2.807902612888799e-07, PAP: 0.000
Bit: 28, MSE: 1.2474505282787362e-18, MAE: 1.86445147659934e-07, MRE: 1.866089355905207e-07, PAP: 0.000
Bit: 29, MSE: 2.572684816166423e-19, MAE: 8.591906314192599e-08, MRE: 8.539320389501629e-08, PAP: 0.000
Bit: 30, MSE: 5.800749704364423e-20, MAE: 4.0299697551260394e-08, MRE: 4.035486579628215e-08, PAP: 0.000
Bit: 31, MSE: 1.5273169274102376e-20, MAE: 2.1290620440261865e-08, MRE: 2.1247740738538538e-08, PAP: 0.000
Bit: 32, MSE: 3.88383941782033e-21, MAE: 1.1388240461762678e-08, MRE: 1.1397098756308167e-08, PAP: 0.000
Bit: 33, MSE: 1.212804441987127e-21, MAE: 6.450884749986674e-09, MRE: 6.4619449803064576e-09, PAP: 0.000
